V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,Cluster,State
1.0,0.0,1.0,24.649767472328772,1.0,19.400399843744733,0.9913312404834795,4.378526782815695,0.997270370923449,7.692523461985841,1.0147725924541648,16.58691232917389,1.0107052222633086,16.972619793190034,1.010030246863183,18.860881263180516,0.983570546088393,8.018006486467721,3,Low Load
1.0,0.0,0.9999999999999999,24.69330443092349,1.0,19.462767864360952,0.9896787386127575,4.366784435286911,0.9946135211447031,7.7579840264505995,1.013266561708795,16.645095256321365,1.0073122618754824,17.02832583934672,1.0081565489824738,18.893622490723846,0.9804407939351357,7.957520867282581,3,Low Load
1.0,0.0,0.9999999999999998,-18.6725594916173,1.0,-22.99965306113169,0.9022545166199242,-14.305622731855227,0.8517367521376791,-25.62748142840882,0.9558510466121715,-25.986725163891048,0.9079722413478702,-30.679330023999643,0.9420048902624436,-24.88106855019753,0.8226952582191878,-28.008158830475814,4,Disconnect
1.0,0.0,0.9999999999999999,1.5352825096227654,0.9999999999999999,-9.43000639589228,0.9894500929610578,-5.394643093216772,0.9776990138300417,-9.863624782232531,0.9995841548721615,-9.430006395892281,0.9825599230402499,-8.898649800230848,0.9953028636683687,-4.339560420588348,0.961162493330124,-9.308084599626623,2,Shut Down
1.0,0.0,0.9999999999999999,-20.865013664284835,0.9999999999999998,-25.175744887543622,0.9008426213982434,-15.314282267542241,0.8556553439720274,-27.597890198326066,0.9572549955657268,-28.15843206466521,0.9106706788905108,-32.96700819425385,0.9430115748990736,-27.066868988701735,0.8229806373939852,-29.89197679564368,4,Disconnect
1.0,0.0,1.0,-17.919823280970046,0.9999999999999997,-22.38539864293193,0.9110907816354075,-14.120735058563557,0.8691712256041633,-25.442087078402842,0.9611802842380694,-25.355894110393006,0.9146950111584867,-29.855473832066757,0.9466222581981073,-24.09793069846841,0.8343533511342596,-27.21490399518003,4,Disconnect
1.0,0.0,1.0,24.87712780473672,1.0,19.53326865731937,0.9913099975689815,4.336771254436739,0.9966415286391452,7.521665104561158,1.0140155683810836,16.717679012053242,1.0087685193494964,17.27864215017486,1.0092488295254955,19.08374418194435,0.9836782969139202,8.037107433964465,3,Low Load
1.0,0.0,0.9999999999999999,-21.58192921728096,1.0,-26.1793326404894,0.8928228803366551,-15.483395413622983,0.8442729971281343,-28.49501682007144,0.9529939967696252,-29.175368062178862,0.90344105460299,-34.026385206998455,0.9373482924844853,-27.82140336196917,0.8076790781380168,-29.997808838407405,4,Disconnect
1.0,0.0,0.9999999999999999,19.28072470795918,1.0,20.485680679608112,0.9725128535011633,-2.384678133793189,0.9464095492234049,-7.255964134922274,1.0057446883849663,17.646917757626788,0.9820702537391272,12.7977801635495,0.9893008021396421,13.370112674805688,0.93454118648429,-1.1598539438770998,1,High Load
1.0,0.0,0.9999999999999999,24.167058715375838,0.9999999999999998,18.873825318088596,0.9895318529885095,4.03637363609404,0.9913913465419261,7.058707378983188,1.0139320545100894,16.058003576131345,1.0114267584063157,16.496590547349346,1.0097601969920822,18.376619037053487,0.9804021643771061,7.4964006627704025,3,Low Load
